     C0   C1   C2    D0   D1   D2    E0   E1   E2   E3   E4   E5   E6   E7   E8    F0   F1   F2    H0   H1   H2    I0   I1   I2   I3   I4   I5   I6    K0   K1   K2   K3   K4    L0   L1   L2   L3   L4    M0   M1   M2   M3   M4   M5   M6   M7    N0   N1   N2    P0   P1    Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8    R0   R1   R2   R3   R4   R5   R6   R7    S0   S1   S2    T0   T1   T2    V0   V1   V2    W0   W1   W2   W3   W4   W5   W6   W7    Y0   Y1   Y2 
C0  2.03 2.04 2.03  3.47 3.90 3.62  4.22 3.88 3.65 3.86 3.86 3.86 3.86 3.86 3.86  4.24 4.09 4.08  4.06 4.12 4.08  4.03 3.92 3.93 4.05 4.03 4.00 4.03  3.91 3.94 3.95 4.05 3.91  4.07 4.05 4.09 4.05 4.05  3.99 3.94 4.00 3.98 4.01 4.01 3.91 4.01  3.90 3.72 3.75  3.68 3.77  4.32 4.08 3.75 4.00 3.89 3.89 3.89 3.89 3.89  3.64 3.88 3.88 3.92 4.00 4.31 3.90 3.64  3.21 3.24 3.37  4.09 3.72 3.84  3.92 3.87 4.01  4.53 4.21 4.09 3.89 4.09 3.99 4.00 4.09  4.33 3.92 3.99
C1  2.04 2.03 2.03  3.48 3.63 3.72  3.86 3.86 3.96 3.78 3.86 3.77 3.86 3.86 3.86  4.52 4.46 4.17  3.96 3.92 4.15  4.03 4.03 4.13 4.04 4.03 4.04 4.03  3.91 3.93 3.72 3.91 3.91  4.05 4.05 4.04 4.05 4.05  4.01 4.15 4.01 3.98 4.01 4.01 4.01 4.01  3.66 3.61 3.69  3.73 3.80  3.89 3.90 3.81 3.60 3.89 3.89 3.89 3.89 3.89  4.03 3.88 3.88 3.66 3.67 3.88 4.15 3.88  3.18 3.13 3.29  3.94 3.75 3.93  3.95 4.01 3.74  4.09 4.09 4.09 4.14 4.09 4.38 4.09 4.09  4.11 3.90 4.17
C2  2.03 2.03 2.02  3.82 3.46 3.55  4.04 3.83 3.68 3.98 3.86 3.61 3.86 3.86 3.86  3.85 4.40 4.28  3.93 4.11 3.87  4.08 3.91 4.11 4.10 4.03 4.03 4.03  3.94 3.95 3.95 3.91 3.79  4.05 3.95 4.09 4.05 4.05  3.91 3.92 4.03 4.01 4.23 4.19 3.94 4.01  3.64 3.61 3.80  3.86 3.77  3.84 3.95 3.73 3.87 3.89 3.89 3.89 3.89 3.89  3.68 3.86 3.72 3.78 3.95 3.78 4.05 4.01  3.32 3.40 3.33  3.89 3.81 3.85  3.93 3.99 3.99  3.76 3.72 4.61 4.33 3.85 4.29 3.91 3.80  3.73 4.16 4.15
D0  3.47 3.48 3.82  3.91 3.75 3.90  4.16 4.36 3.87 4.10 4.78 4.38 3.94 4.09 3.49  4.55 4.49 4.58  4.01 4.09 4.04  4.23 4.53 4.42 4.30 4.32 4.20 4.32  3.88 3.96 3.66 3.84 3.69  4.42 4.12 4.20 4.23 4.23  4.27 4.32 4.17 4.06 4.10 4.16 4.16 4.21  3.95 3.79 3.96  3.88 3.83  4.20 4.18 4.06 4.11 4.30 4.07 3.84 4.11 4.11  3.67 3.68 3.67 3.67 3.80 3.92 3.57 3.74  3.07 2.96 3.05  3.86 3.45 3.70  4.20 4.20 4.05  4.74 4.86 4.98 4.63 4.60 4.54 4.72 4.68  4.59 4.46 4.54
D1  3.90 3.63 3.46  3.75 3.38 3.92  3.92 4.62 4.11 3.75 4.09 4.29 3.56 4.09 4.09  4.67 4.52 4.72  4.13 3.98 4.07  4.32 4.57 4.31 4.14 4.32 4.37 4.32  4.01 3.97 3.88 3.98 3.70  4.15 4.23 4.23 4.23 4.23  4.21 4.24 4.21 4.22 4.21 4.21 4.21 4.21  3.73 3.48 3.87  3.92 3.83  4.28 4.49 4.17 3.72 4.11 3.95 3.84 4.11 4.11  3.74 3.69 3.65 3.77 3.69 3.66 3.59 3.73  3.08 3.01 2.98  3.89 3.18 3.78  4.13 4.11 4.23  5.06 4.99 4.83 5.02 4.83 4.74 4.81 4.83  4.50 4.52 4.52
D2  3.62 3.72 3.55  3.90 3.92 4.03  4.03 4.26 3.97 4.23 3.65 4.11 4.14 4.09 4.39  4.49 4.53 4.72  4.07 4.11 4.08  4.34 4.52 4.26 4.34 4.32 4.26 4.06  3.42 3.70 3.90 3.92 3.73  4.36 3.98 4.37 4.23 4.23  4.03 4.28 4.27 4.30 3.99 4.43 4.33 4.21  3.86 3.56 3.96  3.86 3.91  4.00 4.16 4.01 4.19 4.17 4.39 4.09 4.11 4.10  3.83 3.65 3.67 3.73 3.67 3.72 3.69 3.71  3.11 3.08 3.15  3.88 3.62 3.84  4.25 4.27 4.19  4.85 4.85 4.92 4.90 4.99 5.04 4.78 4.82  4.60 4.53 4.70
E0  4.22 3.86 4.04  4.16 3.92 4.03  4.26 4.37 4.22 4.02 4.26 4.19 4.26 4.26 4.26  4.66 4.79 4.72  4.59 4.39 4.40  4.52 4.50 4.58 4.59 4.45 4.54 4.45  4.02 4.16 4.01 4.06 3.88  4.72 4.33 4.35 4.33 4.33  4.71 4.49 4.38 4.42 4.28 4.28 4.24 4.28  4.33 3.69 4.10  3.99 3.99  4.71 4.44 4.29 4.23 4.37 4.37 4.37 4.37 4.37  3.99 4.14 4.06 4.08 4.17 4.13 4.09 4.08  3.43 3.37 3.44  4.27 3.71 4.04  4.35 4.41 4.31  4.95 4.62 4.75 5.00 4.75 5.20 5.15 4.75  4.72 4.70 4.80
E1  3.88 3.86 3.83  4.36 4.62 4.26  4.37 4.52 4.37 4.25 4.26 4.19 4.42 4.26 4.26  4.41 4.63 4.81  4.40 4.46 4.41  4.35 4.45 4.40 4.52 4.45 4.45 4.45  4.03 4.18 4.07 4.15 4.11  4.44 3.89 4.41 4.33 4.33  4.34 4.29 4.13 4.49 4.28 4.28 4.33 4.28  4.24 4.09 4.26  4.10 4.18  4.40 4.68 4.39 4.45 4.37 4.37 4.26 4.37 4.37  4.17 4.13 4.11 4.20 4.17 4.26 4.17 4.11  3.44 3.44 3.35  4.28 3.86 3.83  4.23 3.97 4.27  4.54 4.36 4.81 4.88 4.75 4.80 4.53 4.75  4.46 4.78 4.79
E2  3.65 3.96 3.68  3.87 4.11 3.97  4.22 4.37 4.54 4.27 4.26 4.63 3.72 4.26 4.26  4.51 4.62 4.34  4.45 4.34 4.36  4.65 4.29 4.25 4.24 4.38 4.32 4.45  4.11 4.00 4.00 4.06 4.06  4.36 3.98 4.21 4.33 4.40  4.27 4.30 3.97 4.18 4.28 4.28 4.23 4.28  4.14 4.12 4.15  3.97 4.01  4.36 4.36 4.26 4.27 4.30 4.44 4.47 4.37 4.37  4.05 4.08 4.09 4.12 4.09 4.25 4.15 4.12  3.34 3.40 3.44  3.71 3.73 4.00  4.10 4.30 4.15  4.36 4.80 4.52 4.50 4.52 4.56 4.88 4.68  4.65 4.66 4.50
E3  3.86 3.78 3.98  4.10 3.75 4.23  4.02 4.25 4.27 4.46 3.87 4.70 4.24 4.26 4.34  4.46 4.36 4.75  4.17 4.23 4.40  4.30 4.45 4.41 4.51 4.33 4.45 4.45  3.96 3.87 4.04 4.11 3.91  4.13 4.36 4.49 4.18 4.34  4.27 4.28 4.16 4.34 4.31 4.19 4.32 4.28  3.85 3.61 4.13  3.86 3.84  4.13 4.26 4.12 4.25 4.29 4.29 4.30 4.37 4.42  4.12 4.09 4.09 4.12 4.06 4.19 4.13 4.12  3.43 3.34 3.43  3.90 3.56 4.08  4.24 4.26 4.11  4.45 4.97 4.60 4.97 4.71 5.10 4.82 4.76  4.60 4.63 4.69
